timestamp,datetime,component,tick_id,processing_latency_ms,decision_latency_ms,symbol
1764213753.025287,2025-11-26 21:22:33,NEWS_STRATEGY,1,10.84589958190918,10.874032974243164, AAPL
1764213753.038115,2025-11-26 21:22:33,NEWS_STRATEGY,2,12.597084045410156,12.850046157836914, AAPL
1764213753.0487602,2025-11-26 21:22:33,NEWS_STRATEGY,3,10.776042938232422,10.849952697753906, AAPL
1764213753.059864,2025-11-26 21:22:33,NEWS_STRATEGY,4,11.10386848449707,11.153697967529297, AAPL
1764213753.072622,2025-11-26 21:22:33,NEWS_STRATEGY,5,12.632131576538086,12.771129608154297, AAPL
1764213753.083872,2025-11-26 21:22:33,NEWS_STRATEGY,6,11.270999908447266,11.334896087646484, AAPL
1764213753.096545,2025-11-26 21:22:33,NEWS_STRATEGY,7,12.603044509887695,12.664079666137695, AAPL
1764213753.1078012,2025-11-26 21:22:33,NEWS_STRATEGY,8,11.255025863647461,11.269092559814453, AAPL
1764213753.120414,2025-11-26 21:22:33,NEWS_STRATEGY,9,12.485980987548828,12.568950653076172, AAPL
1764213753.1329,2025-11-26 21:22:33,NEWS_STRATEGY,10,12.486934661865234,12.51220703125, AAPL
1764213753.145529,2025-11-26 21:22:33,NEWS_STRATEGY,11,12.569904327392578,12.577056884765625, AAPL
1764213753.158114,2025-11-26 21:22:33,NEWS_STRATEGY,12,12.577056884765625,12.590169906616211, AAPL
1764213753.170667,2025-11-26 21:22:33,NEWS_STRATEGY,13,12.569904327392578,12.581825256347656, AAPL
1764213753.18324,2025-11-26 21:22:33,NEWS_STRATEGY,14,12.581825256347656,12.588739395141602, AAPL
1764213753.195787,2025-11-26 21:22:33,NEWS_STRATEGY,15,12.569904327392578,12.579917907714844, AAPL
1764213753.206788,2025-11-26 21:22:33,NEWS_STRATEGY,16,11.017084121704102,11.026144027709961, AAPL
1764213753.219457,2025-11-26 21:22:33,NEWS_STRATEGY,17,12.64190673828125,12.666940689086914, AAPL
1764213753.231115,2025-11-26 21:22:33,NEWS_STRATEGY,18,11.590719223022461,11.612892150878906, AAPL
1764213753.2438002,2025-11-26 21:22:33,NEWS_STRATEGY,19,12.6190185546875,12.639045715332031, AAPL
1764213753.2561789,2025-11-26 21:22:33,NEWS_STRATEGY,20,12.272834777832031,12.354135513305664, AAPL
1764213753.2681952,2025-11-26 21:22:33,NEWS_STRATEGY,21,11.924028396606445,11.996030807495117, AAPL
1764213753.280319,2025-11-26 21:22:33,NEWS_STRATEGY,22,12.068033218383789,12.125968933105469, AAPL
1764213753.293065,2025-11-26 21:22:33,NEWS_STRATEGY,23,12.61281967163086,12.727022171020508, AAPL
1764213753.305783,2025-11-26 21:22:33,NEWS_STRATEGY,24,12.672901153564453,12.765884399414062, AAPL
1764213753.318466,2025-11-26 21:22:33,NEWS_STRATEGY,25,12.625932693481445,12.691974639892578, AAPL
1764213753.3296242,2025-11-26 21:22:33,NEWS_STRATEGY,26,11.197090148925781,11.216163635253906, AAPL
1764213753.340427,2025-11-26 21:22:33,NEWS_STRATEGY,27,10.744094848632812,10.761022567749023, AAPL
1764213753.350713,2025-11-26 21:22:33,NEWS_STRATEGY,28,10.238885879516602,10.254144668579102, AAPL
1764213753.3633559,2025-11-26 21:22:33,NEWS_STRATEGY,29,12.581825256347656,12.651920318603516, AAPL
1764213753.375946,2025-11-26 21:22:33,NEWS_STRATEGY,30,12.597084045410156,12.646913528442383, AAPL
1764213753.388555,2025-11-26 21:22:33,NEWS_STRATEGY,31,12.611865997314453,12.66789436340332, AAPL
1764213753.3987021,2025-11-26 21:22:33,NEWS_STRATEGY,32,10.19597053527832,10.215044021606445, AAPL
1764213753.4113941,2025-11-26 21:22:33,NEWS_STRATEGY,33,12.644052505493164,12.668132781982422, AAPL
1764213753.423994,2025-11-26 21:22:33,NEWS_STRATEGY,34,12.59303092956543,12.618064880371094, AAPL
1764213753.43593,2025-11-26 21:22:33,NEWS_STRATEGY,35,11.82699203491211,11.887788772583008, AAPL
1764213753.4472032,2025-11-26 21:22:33,NEWS_STRATEGY,36,11.090755462646484,11.125802993774414, AAPL
1764213753.458244,2025-11-26 21:22:33,NEWS_STRATEGY,37,10.903120040893555,10.931968688964844, AAPL
1764213753.4697442,2025-11-26 21:22:33,NEWS_STRATEGY,38,11.423587799072266,11.45172119140625, AAPL
1764213753.48119,2025-11-26 21:22:33,NEWS_STRATEGY,39,11.313915252685547,11.357784271240234, AAPL
1764213753.492407,2025-11-26 21:22:33,NEWS_STRATEGY,40,11.046886444091797,11.078834533691406, AAPL
1764213753.504171,2025-11-26 21:22:33,NEWS_STRATEGY,41,11.660099029541016,11.69586181640625, AAPL
1764213753.5170188,2025-11-26 21:22:33,NEWS_STRATEGY,42,12.659072875976562,12.704133987426758, AAPL
1764213753.528758,2025-11-26 21:22:33,NEWS_STRATEGY,43,11.619091033935547,11.673688888549805, AAPL
1764213753.540257,2025-11-26 21:22:33,NEWS_STRATEGY,44,11.323928833007812,11.415719985961914, AAPL
1764213753.55275,2025-11-26 21:22:33,NEWS_STRATEGY,45,12.196779251098633,12.275934219360352, AAPL
1764213753.565139,2025-11-26 21:22:33,NEWS_STRATEGY,46,12.341022491455078,12.399911880493164, AAPL
1764213753.5779269,2025-11-26 21:22:33,NEWS_STRATEGY,47,12.704849243164062,12.850761413574219, AAPL
1764213753.588995,2025-11-26 21:22:33,NEWS_STRATEGY,48,10.863065719604492,11.003971099853516, AAPL
1764213753.60113,2025-11-26 21:22:33,NEWS_STRATEGY,49,11.855125427246094,12.028217315673828, AAPL
