timestamp,datetime,component,news_ticks_per_sec
1764213442.865196,2025-11-26 21:17:22,GATEWAY,162.4
1764213447.870964,2025-11-26 21:17:27,GATEWAY,163.6
1764213452.8764002,2025-11-26 21:17:32,GATEWAY,163.2
1764213457.881324,2025-11-26 21:17:37,GATEWAY,164.4
1764213462.882786,2025-11-26 21:17:42,GATEWAY,163.6
1764213467.889142,2025-11-26 21:17:47,GATEWAY,164.4
1764213472.8949602,2025-11-26 21:17:52,GATEWAY,164.0
1764213477.899202,2025-11-26 21:17:57,GATEWAY,163.2
1764213482.901032,2025-11-26 21:18:02,GATEWAY,163.6
1764213487.906879,2025-11-26 21:18:07,GATEWAY,164.4
1764213492.910798,2025-11-26 21:18:12,GATEWAY,164.0
1764213510.878742,2025-11-26 21:18:30,GATEWAY,161.4
1764213515.880865,2025-11-26 21:18:35,GATEWAY,163.2
1764213520.886307,2025-11-26 21:18:40,GATEWAY,162.8
1764213525.893853,2025-11-26 21:18:45,GATEWAY,164.0
1764213530.8976488,2025-11-26 21:18:50,GATEWAY,163.6
1764213535.901113,2025-11-26 21:18:55,GATEWAY,164.0
1764213540.9045188,2025-11-26 21:19:00,GATEWAY,163.6
1764213545.907542,2025-11-26 21:19:05,GATEWAY,163.2
1764213550.9139001,2025-11-26 21:19:10,GATEWAY,163.6
1764213555.9196649,2025-11-26 21:19:15,GATEWAY,162.8
1764213560.922831,2025-11-26 21:19:20,GATEWAY,162.8
1764213565.9283001,2025-11-26 21:19:25,GATEWAY,163.2
1764213570.9343302,2025-11-26 21:19:30,GATEWAY,163.6
1764213575.935848,2025-11-26 21:19:35,GATEWAY,162.8
1764213580.9414551,2025-11-26 21:19:40,GATEWAY,162.8
1764213585.9458182,2025-11-26 21:19:45,GATEWAY,162.4
1764213590.95214,2025-11-26 21:19:50,GATEWAY,162.8
1764213595.95556,2025-11-26 21:19:55,GATEWAY,162.4
1764213600.9599,2025-11-26 21:20:00,GATEWAY,162.0
1764213605.965919,2025-11-26 21:20:05,GATEWAY,162.4
1764213610.971505,2025-11-26 21:20:10,GATEWAY,162.8
1764213615.975023,2025-11-26 21:20:15,GATEWAY,162.8
1764213620.981143,2025-11-26 21:20:20,GATEWAY,162.0
1764213625.9859478,2025-11-26 21:20:25,GATEWAY,162.8
1764213630.987503,2025-11-26 21:20:30,GATEWAY,162.4
1764213635.992372,2025-11-26 21:20:35,GATEWAY,164.0
1764213640.998614,2025-11-26 21:20:40,GATEWAY,164.0
1764213750.9093802,2025-11-26 21:22:30,GATEWAY,161.0
1764213755.915526,2025-11-26 21:22:35,GATEWAY,163.2
1764213760.9198568,2025-11-26 21:22:40,GATEWAY,165.6
1764213765.925637,2025-11-26 21:22:45,GATEWAY,164.4
1764213770.931426,2025-11-26 21:22:50,GATEWAY,164.0
1764213775.93695,2025-11-26 21:22:55,GATEWAY,163.2
1764213780.940894,2025-11-26 21:23:00,GATEWAY,162.8
1764213785.9465091,2025-11-26 21:23:05,GATEWAY,163.6
1764213790.951027,2025-11-26 21:23:10,GATEWAY,163.2
1764213795.9566212,2025-11-26 21:23:15,GATEWAY,163.2
1764213800.962177,2025-11-26 21:23:20,GATEWAY,164.4
1764213805.964628,2025-11-26 21:23:25,GATEWAY,166.8
1764213810.965976,2025-11-26 21:23:30,GATEWAY,164.8
1764213815.9712791,2025-11-26 21:23:35,GATEWAY,163.6
1764213820.976914,2025-11-26 21:23:40,GATEWAY,164.4
1764213825.980739,2025-11-26 21:23:45,GATEWAY,163.6
1764213830.9825878,2025-11-26 21:23:50,GATEWAY,164.4
